"學年度","學校代碼","學校名稱","等級","僑居地","在學學生人數_男","在學學生人數_女","新生","舊生","上學年度畢業生人數_男","上學年度畢業生人數_女"
110,0001,國立政治大學,博士,香港,6,1,4,3,0,0
110,0001,國立政治大學,博士,澳門,4,0,1,3,0,0
110,0001,國立政治大學,碩士,香港,34,30,32,32,4,6
110,0001,國立政治大學,碩士,澳門,9,8,3,14,2,3
110,0001,國立政治大學,學士,香港,36,50,20,66,5,5
110,0001,國立政治大學,學士,澳門,33,57,18,72,16,17
110,0002,國立清華大學,博士,香港,9,1,4,6,0,0
110,0002,國立清華大學,博士,澳門,2,1,1,2,1,1
110,0002,國立清華大學,碩士,香港,30,22,29,23,2,1
110,0002,國立清華大學,碩士,澳門,11,4,8,7,3,0
110,0002,國立清華大學,學士,香港,55,39,30,64,3,7
110,0002,國立清華大學,學士,澳門,26,15,8,33,19,8
110,0003,國立臺灣大學,博士,香港,11,4,3,12,1,0
110,0003,國立臺灣大學,博士,澳門,9,3,2,10,1,0
110,0003,國立臺灣大學,碩士,香港,52,45,40,57,8,7
110,0003,國立臺灣大學,碩士,澳門,23,19,21,21,14,4
110,0003,國立臺灣大學,學士,香港,131,95,58,168,16,17
110,0003,國立臺灣大學,學士,澳門,101,82,35,148,29,27
110,0004,國立臺灣師範大學,博士,香港,5,3,3,5,0,0
110,0004,國立臺灣師範大學,博士,澳門,2,1,1,2,0,0
110,0004,國立臺灣師範大學,碩士,香港,36,39,42,33,5,4
110,0004,國立臺灣師範大學,碩士,澳門,19,14,14,19,5,4
110,0004,國立臺灣師範大學,學士,香港,65,76,54,87,7,15
110,0004,國立臺灣師範大學,學士,澳門,57,60,8,109,15,17
110,0004A,國立臺灣師大僑生先修部,先修,香港,111,72,183,0,0,0
110,0004A,國立臺灣師大僑生先修部,先修,澳門,1,0,1,0,0,0
110,0005,國立成功大學,博士,香港,7,0,2,5,0,0
110,0005,國立成功大學,博士,澳門,0,2,2,0,0,0
110,0005,國立成功大學,碩士,香港,34,27,36,25,3,3
110,0005,國立成功大學,碩士,澳門,11,8,5,14,5,5
110,0005,國立成功大學,學士,香港,94,62,57,99,8,5
110,0005,國立成功大學,學士,澳門,65,25,17,73,14,2
110,0006,國立中興大學,博士,香港,1,0,1,0,0,0
110,0006,國立中興大學,博士,澳門,0,0,0,0,0,1
110,0006,國立中興大學,碩士,香港,18,14,17,15,5,2
110,0006,國立中興大學,碩士,澳門,4,1,1,4,0,2
110,0006,國立中興大學,學士,香港,42,29,17,54,5,9
110,0006,國立中興大學,學士,澳門,14,13,5,22,6,2
110,0007,國立陽明交通大學,博士,香港,1,2,0,3,0,1
110,0007,國立陽明交通大學,博士,澳門,0,1,0,1,0,0
110,0007,國立陽明交通大學,碩士,香港,31,17,20,28,5,3
110,0007,國立陽明交通大學,碩士,澳門,14,1,4,11,2,5
110,0007,國立陽明交通大學,學士,香港,44,27,19,52,5,4
110,0007,國立陽明交通大學,學士,澳門,24,7,3,28,11,2
110,0008,國立中央大學,碩士,香港,15,8,9,14,3,3
110,0008,國立中央大學,碩士,澳門,1,2,2,1,2,0
110,0008,國立中央大學,學士,香港,30,17,14,33,5,4
110,0008,國立中央大學,學士,澳門,14,0,2,12,5,2
110,0009,國立中山大學,博士,香港,3,2,3,2,0,0
110,0009,國立中山大學,博士,澳門,1,0,0,1,0,0
110,0009,國立中山大學,碩士,香港,21,12,21,12,4,1
110,0009,國立中山大學,碩士,澳門,2,1,1,2,1,2
110,0009,國立中山大學,學士,香港,41,36,26,51,7,4
110,0009,國立中山大學,學士,澳門,9,0,1,8,0,0
110,0012,國立臺灣海洋大學,博士,香港,1,1,0,2,0,0
110,0012,國立臺灣海洋大學,碩士,香港,7,3,5,5,1,1
110,0012,國立臺灣海洋大學,碩士,澳門,3,0,0,3,0,0
110,0012,國立臺灣海洋大學,學士,香港,72,18,29,61,8,4
110,0012,國立臺灣海洋大學,學士,澳門,9,1,2,8,8,3
110,0013,國立中正大學,博士,香港,4,0,1,3,0,0
110,0013,國立中正大學,博士,澳門,3,0,0,3,0,0
110,0013,國立中正大學,碩士,香港,11,4,9,6,1,0
110,0013,國立中正大學,碩士,澳門,0,2,2,0,0,1
110,0013,國立中正大學,學士,香港,38,15,16,37,5,1
110,0013,國立中正大學,學士,澳門,12,5,3,14,7,3
110,0014,國立高雄師範大學,碩士,香港,3,6,5,4,0,0
110,0014,國立高雄師範大學,碩士,澳門,1,4,0,5,0,1
110,0014,國立高雄師範大學,學士,香港,9,8,10,7,1,2
110,0014,國立高雄師範大學,學士,澳門,13,10,3,20,7,4
110,0015,國立彰化師範大學,碩士,香港,5,1,4,2,1,0
110,0015,國立彰化師範大學,碩士,澳門,1,4,2,3,3,0
110,0015,國立彰化師範大學,學士,香港,34,22,20,36,2,2
110,0015,國立彰化師範大學,學士,澳門,16,23,4,35,8,13
110,0017,國立臺北大學,博士,澳門,1,1,1,1,0,0
110,0017,國立臺北大學,碩士,香港,12,5,10,7,2,0
110,0017,國立臺北大學,碩士,澳門,3,2,1,4,0,1
110,0017,國立臺北大學,學士,香港,56,48,44,60,8,6
110,0017,國立臺北大學,學士,澳門,13,12,2,23,4,5
110,0018,國立嘉義大學,博士,澳門,1,0,0,1,0,0
110,0018,國立嘉義大學,碩士,香港,7,3,6,4,2,0
110,0018,國立嘉義大學,碩士,澳門,1,2,2,1,0,1
110,0018,國立嘉義大學,學士,香港,31,45,25,51,8,6
110,0018,國立嘉義大學,學士,澳門,8,7,3,12,15,4
110,0019,國立高雄大學,碩士,香港,2,2,2,2,1,0
110,0019,國立高雄大學,學士,香港,23,10,16,17,0,2
110,0019,國立高雄大學,學士,澳門,6,5,1,10,4,0
110,0020,國立東華大學,碩士,香港,10,5,6,9,1,2
110,0020,國立東華大學,碩士,澳門,2,2,1,3,2,0
110,0020,國立東華大學,學士,香港,54,55,31,78,12,9
110,0020,國立東華大學,學士,澳門,7,17,3,21,6,8
110,0021,國立暨南國際大學,博士,香港,1,1,0,2,0,0
110,0021,國立暨南國際大學,博士,澳門,0,1,0,1,0,0
110,0021,國立暨南國際大學,碩士,香港,15,9,14,10,0,0
110,0021,國立暨南國際大學,碩士,澳門,3,2,1,4,0,0
110,0021,國立暨南國際大學,學士,香港,81,51,45,87,24,19
110,0021,國立暨南國際大學,學士,澳門,19,14,4,29,14,8
110,0022,國立臺灣科技大學,碩士,香港,5,1,4,2,0,4
110,0022,國立臺灣科技大學,碩士,澳門,2,0,1,1,0,0
110,0022,國立臺灣科技大學,學士,香港,24,14,8,30,8,3
110,0022,國立臺灣科技大學,學士,澳門,15,9,5,19,13,1
110,0023,國立雲林科技大學,碩士,香港,1,3,1,3,1,1
110,0023,國立雲林科技大學,學士,香港,28,26,5,49,6,7
110,0023,國立雲林科技大學,學士,澳門,2,8,0,10,1,4
110,0024,國立屏東科技大學,博士,香港,1,0,0,1,0,0
110,0024,國立屏東科技大學,碩士,香港,6,6,2,10,0,0
110,0024,國立屏東科技大學,碩士,澳門,0,0,0,0,1,0
110,0024,國立屏東科技大學,學士,香港,20,12,7,25,4,6
110,0024,國立屏東科技大學,學士,澳門,6,11,4,13,4,2
110,0025,國立臺北科技大學,博士,香港,0,1,0,1,0,0
110,0025,國立臺北科技大學,碩士,香港,5,3,1,7,1,0
110,0025,國立臺北科技大學,碩士,澳門,0,0,0,0,0,1
110,0025,國立臺北科技大學,學士,香港,62,46,5,103,9,7
110,0025,國立臺北科技大學,學士,澳門,20,8,0,28,4,5
110,0028,國立臺北藝術大學,博士,香港,1,0,1,0,0,0
110,0028,國立臺北藝術大學,碩士,香港,10,13,8,15,2,2
110,0028,國立臺北藝術大學,碩士,澳門,5,6,5,6,2,2
110,0028,國立臺北藝術大學,學士,香港,10,33,7,36,3,5
110,0028,國立臺北藝術大學,學士,澳門,3,5,3,5,2,2
110,0029,國立臺灣藝術大學,博士,香港,1,1,1,1,0,0
110,0029,國立臺灣藝術大學,碩士,香港,7,14,11,10,1,3
110,0029,國立臺灣藝術大學,碩士,澳門,8,4,5,7,0,2
110,0029,國立臺灣藝術大學,學士,香港,20,34,14,40,2,7
110,0029,國立臺灣藝術大學,學士,澳門,11,5,2,14,0,3
110,0030,國立臺東大學,碩士,香港,1,3,2,2,1,0
110,0030,國立臺東大學,碩士,澳門,0,2,1,1,0,0
110,0030,國立臺東大學,學士,香港,7,7,4,10,0,1
110,0030,國立臺東大學,學士,澳門,1,3,0,4,1,1
110,0031,國立宜蘭大學,碩士,香港,2,0,1,1,0,0
110,0031,國立宜蘭大學,學士,香港,28,15,20,23,6,5
110,0031,國立宜蘭大學,學士,澳門,3,2,1,4,1,0
110,0032,國立聯合大學,學士,香港,5,3,5,3,1,1
110,0032,國立聯合大學,學士,澳門,1,0,0,1,1,0
110,0033,國立虎尾科技大學,碩士,香港,0,1,1,0,0,0
110,0033,國立虎尾科技大學,學士,香港,6,7,1,12,1,1
110,0035,國立臺南藝術大學,博士,香港,1,0,1,0,0,0
110,0035,國立臺南藝術大學,碩士,香港,3,6,3,6,1,2
110,0035,國立臺南藝術大學,碩士,澳門,1,2,2,1,0,0
110,0035,國立臺南藝術大學,學士,香港,3,11,3,11,0,0
110,0035,國立臺南藝術大學,學士,澳門,1,1,0,2,0,0
110,0036,國立臺南大學,碩士,香港,3,9,4,8,0,0
110,0036,國立臺南大學,碩士,澳門,0,1,0,1,0,1
110,0036,國立臺南大學,學士,香港,10,19,10,19,1,1
110,0036,國立臺南大學,學士,澳門,1,4,0,5,1,2
110,0037,國立臺北教育大學,碩士,香港,5,9,9,5,0,0
110,0037,國立臺北教育大學,碩士,澳門,4,4,2,6,1,2
110,0037,國立臺北教育大學,學士,香港,16,15,12,19,4,3
110,0037,國立臺北教育大學,學士,澳門,3,21,1,23,6,0
110,0039,國立臺中教育大學,博士,香港,0,1,0,1,0,0
110,0039,國立臺中教育大學,碩士,香港,3,3,3,3,0,1
110,0039,國立臺中教育大學,碩士,澳門,0,1,1,0,0,0
110,0039,國立臺中教育大學,學士,香港,7,15,11,11,2,2
110,0039,國立臺中教育大學,學士,澳門,3,11,4,10,1,5
110,0042,國立澎湖科技大學,學士,香港,1,1,1,1,1,0
110,0043,國立勤益科技大學,碩士,香港,1,1,1,1,1,0
110,0043,國立勤益科技大學,學士,香港,15,3,5,13,2,0
110,0043,國立勤益科技大學,學士,澳門,1,0,0,1,0,1
110,0044,國立體育大學,博士,香港,0,1,0,1,0,0
110,0044,國立體育大學,博士,澳門,1,0,1,0,0,0
110,0044,國立體育大學,碩士,香港,4,7,5,6,2,2
110,0044,國立體育大學,碩士,澳門,0,1,0,1,1,0
110,0044,國立體育大學,學士,香港,20,6,14,12,1,2
110,0044,國立體育大學,學士,澳門,1,3,1,3,3,0
110,0046,國立臺北護理健康大學,碩士,香港,1,3,1,3,1,4
110,0046,國立臺北護理健康大學,碩士,澳門,1,2,1,2,0,0
110,0046,國立臺北護理健康大學,學士,香港,24,23,18,29,0,2
110,0046,國立臺北護理健康大學,學士,澳門,5,18,6,17,1,4
110,0047,國立高雄餐旅大學,碩士,香港,1,3,1,3,0,0
110,0047,國立高雄餐旅大學,學士,香港,7,10,7,10,1,0
110,0047,國立高雄餐旅大學,學士,澳門,7,4,2,9,6,4
110,0048,國立金門大學,碩士,香港,2,0,2,0,0,0
110,0048,國立金門大學,學士,香港,3,4,3,4,1,1
110,0048,國立金門大學,學士,澳門,1,0,0,1,0,0
110,0049,國立臺灣體育運動大學,碩士,香港,3,3,4,2,0,1
110,0049,國立臺灣體育運動大學,碩士,澳門,1,0,0,1,0,0
110,0049,國立臺灣體育運動大學,學士,香港,23,10,11,22,1,5
110,0049,國立臺灣體育運動大學,學士,澳門,6,2,1,7,6,0
110,0050,國立臺中科技大學,碩士,香港,3,3,4,2,0,0
110,0050,國立臺中科技大學,學士,香港,24,22,9,37,3,1
110,0050,國立臺中科技大學,學士,澳門,2,3,2,3,0,0
110,0051,國立臺北商業大學,碩士,香港,1,0,1,0,0,0
110,0051,國立臺北商業大學,碩士,澳門,2,0,2,0,0,0
110,0051,國立臺北商業大學,學士,香港,2,3,2,3,1,1
110,0051,國立臺北商業大學,學士,澳門,1,0,0,1,0,1
110,0052,國立屏東大學,碩士,香港,1,0,0,1,0,1
110,0052,國立屏東大學,碩士,澳門,0,0,0,0,1,0
110,0052,國立屏東大學,學士,香港,12,16,8,20,2,2
110,0052,國立屏東大學,學士,澳門,8,7,1,14,3,3
110,0053,國立高雄科技大學,博士,香港,3,0,2,1,0,0
110,0053,國立高雄科技大學,碩士,香港,9,10,11,8,2,0
110,0053,國立高雄科技大學,學士,香港,62,36,14,84,6,4
110,0053,國立高雄科技大學,學士,澳門,4,1,1,4,1,0
110,0144,國立臺灣戲曲學院,學士,香港,0,1,0,1,0,1
110,0144,國立臺灣戲曲學院,學士,澳門,0,0,0,0,1,1
110,1001,東海大學,碩士,香港,17,7,11,13,3,1
110,1001,東海大學,碩士,澳門,4,3,5,2,1,0
110,1001,東海大學,學士,香港,104,87,61,130,12,6
110,1001,東海大學,學士,澳門,23,13,12,24,6,8
110,1002,輔仁大學,博士,香港,1,0,0,1,0,1
110,1002,輔仁大學,碩士,香港,15,32,27,20,0,2
110,1002,輔仁大學,碩士,澳門,4,8,3,9,1,1
110,1002,輔仁大學,學士,香港,120,110,82,148,18,14
110,1002,輔仁大學,學士,澳門,59,37,18,78,29,11
110,1003,東吳大學,博士,香港,0,1,0,1,0,0
110,1003,東吳大學,碩士,香港,16,10,14,12,0,1
110,1003,東吳大學,碩士,澳門,2,2,2,2,0,0
110,1003,東吳大學,學士,香港,90,82,72,100,18,19
110,1003,東吳大學,學士,澳門,28,28,9,47,9,14
110,1004,中原大學,碩士,香港,12,3,9,6,2,2
110,1004,中原大學,碩士,澳門,5,1,3,3,0,0
110,1004,中原大學,學士,香港,145,105,61,189,29,14
110,1004,中原大學,學士,澳門,33,26,7,52,9,14
110,1005,淡江大學,博士,香港,1,0,0,1,0,0
110,1005,淡江大學,碩士,香港,20,8,15,13,1,4
110,1005,淡江大學,碩士,澳門,3,1,2,2,4,2
110,1005,淡江大學,學士,香港,209,169,121,257,33,38
110,1005,淡江大學,學士,澳門,54,28,12,70,20,19
110,1006,中國文化大學,博士,香港,2,0,0,2,0,0
110,1006,中國文化大學,碩士,香港,11,9,4,16,2,1
110,1006,中國文化大學,碩士,澳門,3,4,0,7,1,0
110,1006,中國文化大學,學士,香港,135,130,53,212,25,32
110,1006,中國文化大學,學士,澳門,26,21,2,45,11,8
110,1007,逢甲大學,碩士,香港,23,14,28,9,2,0
110,1007,逢甲大學,碩士,澳門,2,0,0,2,1,0
110,1007,逢甲大學,學士,香港,221,83,87,217,47,19
110,1007,逢甲大學,學士,澳門,25,6,7,24,19,2
110,1008,靜宜大學,碩士,香港,1,2,2,1,1,0
110,1008,靜宜大學,碩士,澳門,0,0,0,0,0,1
110,1008,靜宜大學,學士,香港,39,27,17,49,8,12
110,1008,靜宜大學,學士,澳門,5,11,1,15,0,2
110,1009,長庚大學,博士,澳門,1,0,0,1,0,0
110,1009,長庚大學,碩士,香港,7,2,7,2,0,0
110,1009,長庚大學,碩士,澳門,1,2,1,2,3,0
110,1009,長庚大學,學士,香港,25,23,20,28,2,4
110,1009,長庚大學,學士,澳門,18,19,6,31,0,4
110,1010,元智大學,博士,香港,1,0,0,1,0,0
110,1010,元智大學,碩士,香港,6,2,3,5,2,0
110,1010,元智大學,碩士,澳門,1,0,1,0,0,0
110,1010,元智大學,學士,香港,30,14,14,30,14,6
110,1010,元智大學,學士,澳門,3,1,0,4,0,0
110,1011,中華大學,學士,香港,6,2,3,5,0,0
110,1011,中華大學,學士,澳門,1,0,0,1,0,0
110,1012,大葉大學,碩士,香港,8,7,5,10,0,0
110,1012,大葉大學,碩士,澳門,0,0,0,0,0,1
110,1012,大葉大學,學士,香港,66,67,24,109,31,28
110,1012,大葉大學,學士,澳門,5,3,0,8,1,0
110,1013,華梵大學,碩士,香港,5,4,8,1,0,0
110,1013,華梵大學,碩士,澳門,2,0,0,2,0,0
110,1013,華梵大學,學士,香港,11,19,6,24,5,3
110,1014,義守大學,博士,香港,1,0,1,0,0,0
110,1014,義守大學,碩士,香港,4,1,1,4,5,0
110,1014,義守大學,學士,香港,225,191,119,297,26,38
110,1014,義守大學,學士,澳門,49,27,13,63,13,13
110,1015,世新大學,碩士,香港,6,13,10,9,1,1
110,1015,世新大學,碩士,澳門,3,2,2,3,0,1
110,1015,世新大學,學士,香港,39,81,20,100,5,5
110,1015,世新大學,學士,澳門,28,37,16,49,9,11
110,1016,銘傳大學,碩士,香港,9,13,17,5,0,1
110,1016,銘傳大學,碩士,澳門,1,1,1,1,1,0
110,1016,銘傳大學,學士,香港,165,195,130,230,18,20
110,1016,銘傳大學,學士,澳門,38,43,10,71,7,21
110,1017,實踐大學,碩士,香港,5,6,7,4,0,1
110,1017,實踐大學,碩士,澳門,2,2,1,3,1,0
110,1017,實踐大學,學士,香港,80,116,73,123,12,16
110,1017,實踐大學,學士,澳門,30,31,6,55,16,12
110,1018,朝陽科技大學,碩士,香港,3,5,3,5,0,0
110,1018,朝陽科技大學,學士,香港,40,45,16,69,12,11
110,1018,朝陽科技大學,學士,澳門,16,2,1,17,3,3
110,1019,高雄醫學大學,碩士,香港,3,2,2,3,0,0
110,1019,高雄醫學大學,碩士,澳門,2,3,0,5,0,0
110,1019,高雄醫學大學,學士,香港,21,34,20,35,4,2
110,1019,高雄醫學大學,學士,澳門,15,17,7,25,1,7
110,1020,南華大學,碩士,香港,1,1,0,2,0,0
110,1020,南華大學,學士,香港,4,10,6,8,0,3
110,1020,南華大學,學士,澳門,0,1,0,1,1,0
110,1021,真理大學,碩士,香港,1,0,0,1,1,0
110,1021,真理大學,學士,香港,10,11,3,18,6,2
110,1021,真理大學,學士,澳門,0,0,0,0,2,0
110,1022,大同大學,碩士,香港,1,2,2,1,0,0
110,1022,大同大學,碩士,澳門,0,1,1,0,0,0
110,1022,大同大學,學士,香港,25,15,22,18,2,1
110,1022,大同大學,學士,澳門,4,0,0,4,2,0
110,1023,南臺科技大學,碩士,香港,4,4,5,3,0,0
110,1023,南臺科技大學,學士,香港,42,23,25,40,7,2
110,1023,南臺科技大學,學士,澳門,2,1,0,3,2,2
110,1024,崑山科技大學,碩士,香港,1,1,0,2,0,0
110,1024,崑山科技大學,碩士,澳門,0,1,0,1,0,0
110,1024,崑山科技大學,學士,香港,12,12,3,21,0,1
110,1024,崑山科技大學,學士,澳門,1,1,1,1,0,0
110,1025,嘉南藥理大學,學士,香港,29,17,19,27,4,3
110,1025,嘉南藥理大學,學士,澳門,2,0,0,2,1,0
110,1026,樹德科技大學,碩士,香港,4,0,3,1,0,0
110,1026,樹德科技大學,碩士,澳門,0,1,1,0,0,0
110,1026,樹德科技大學,學士,香港,53,71,39,85,20,14
110,1026,樹德科技大學,學士,澳門,2,5,2,5,0,0
110,1027,慈濟大學,博士,香港,1,0,0,1,0,0
110,1027,慈濟大學,碩士,香港,0,1,0,1,0,0
110,1027,慈濟大學,碩士,澳門,1,1,0,2,1,1
110,1027,慈濟大學,學士,香港,3,3,1,5,1,0
110,1027,慈濟大學,學士,澳門,4,1,0,5,0,0
110,1028,臺北醫學大學,博士,香港,1,0,0,1,1,0
110,1028,臺北醫學大學,博士,澳門,1,0,0,1,0,0
